Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Запорожець,Устим,Ростиславівна,Чоловік,2002.06.27,Медик,селище Білгород-Дністровський,"парк Семафорний, буд. 016 кв. 3, Берегове, 83844",792 57 54,viacheslavdanko@example.org
Сімашкевич,Ярема,Юхимівна,Чоловік,1964.03.30,Кіноактор,селище Чортків,"провулок Ільфа і Петрова, буд. 04 кв. 80, Вашківці, 24144",046 972 28 39,zdrozd@example.org
Павличенко,Златослава,Лаврентіївна,Жінка,2004.02.02,Біолог,місто Підгородне,"набережна Рівності 1-й, буд. 1, Тернівка , 03891",+380 (51) 522-00-35,trokhym63@example.org
Ковалюк,Тетяна,Лідійовна,Жінка,1953.02.22,Кінокритик,селище Новий Буг,"сквер Шкільний, буд. 6, Дебальцеве, 17834",+380 40 054-90-01,vyshyvanyiiakiv@example.net
Єресько,Ліза,Кирилівна,Жінка,1957.12.10,Зоолог,хутір Ніжин,"вулиця Зоринська, буд. 66 кв. 883, Олександрівськ, 12768",+380 (22) 984-99-16,bebeshkotrokhym@example.org
Ґерета,Златослава,Анісіївна,Жінка,2006.10.07,Будник,місто Бахмут,"набережна Колективний, буд. 66 кв. 8, Горішні Плавні, 46745",920 46 26,iurchyshynalla@example.net
Бабʼяк,Яків,Юхимович,Чоловік,1981.04.01,Ювелір,селище Корсунь-Шевченківський,"вулиця Хімічний 3-й, буд. 325 кв. 75, Радивилів, 44829",+380 39 504-36-08,mbaran@example.org
Андрощук,Зорян,Кирилівна,Чоловік,1951.03.15,Гірничий інженер,місто Південне ,"набережна Архітектурна, буд. 513 кв. 8, Алушта, 91131",036 24 74,iemetsavrelii@example.net
Калениченко,Мартин,Андриянівна,Чоловік,1968.11.26,Бібліограф,місто Чигирин,"площа Марії Демченко 2-й, буд. 124, Жовква, 23389",+380 53 604 48 48,atamaniukvadym@example.org
Архимович,Богдан,Васильович,Чоловік,1964.08.29,Петрограф,село Ворожба,"проспект Восьмого Березня Лінія 5-та, буд. 793, Сулимівка (Слов'янськ), 24165",017 010-75-00,markoilchenko@example.com
Рудик,Данило,Андриянівна,Чоловік,2000.08.26,Ветеринар,хутір Буча,"парк Дачний, буд. 3 кв. 70, Ірпінь, 66829",+380 33 560 73 97,nadiiashablii@example.org
Овчаренко,Леонід,Ісааківна,Чоловік,1969.11.06,Складальник,хутір Долина ,"узвіз Стахановський 4-й, буд. 663, Ананьїв, 95467",+380 69 524-29-14,viktorkhmara@example.org
Вдовенко,Марта,Володимирівна,Жінка,2003.06.18,Конструктор,хутір Сколе,"шосе Мазепи Івана, буд. 26, Любомль, 65388",+380 (46) 075-40-39,romanchukvasylyna@example.com
Жадан,Анжела,Володиславівна,Жінка,1974.01.10,Няня,місто Рахів,"проспект Лідерсівський, буд. 59 кв. 8, Гнівань, 53942",+380 (75) 492-19-19,rudyksymon@example.net
Міщенко,Пріска,Юхимівна,Жінка,1957.09.29,Євнух,селище Южне,"вулиця Бугаївська, буд. 0 кв. 6, Черкаси, 11823",+380 03 167-06-61,jshvedchenko@example.com
Безбородько,Віолетта,Ярославівна,Жінка,1985.03.01,Машиніст,селище Жовква,"проспект Новоселів, буд. 8, Устилуг, 22231",+380 90 649-59-21,mykhailo37@example.com
Оберемко,Геннадій,Давидович,Чоловік,1972.03.12,Стиліст,селище Буча,"проспект В’ячеслава Чорновола, буд. 45, Кременчук, 70482",+380 52 937 39 81,ieshchenkomykhailo@example.org
Байда,Вʼячеслав,Анікітівна,Чоловік,1975.08.10,Кухар,місто Суходільськ,"провулок Ткачова, буд. 896 кв. 7, Городок, 27406",+380 (80) 661-33-98,martazaporozhets@example.net
Стельмах,Віктор,Олексійович,Чоловік,1963.11.20,Секретар,селище Таврійськ,"набережна Тульська, буд. 49, Носівка, 01190",+380 98 314-63-57,levko00@example.net
Литвиненко,Сергій,Феодорівна,Чоловік,2002.09.04,Програміст,село Перевальськ,"узвіз Отрадна, буд. 867 кв. 38, Дебальцеве, 83403",186-25-40,qriabovil@example.org
Вітрук,Єлисей,Симонівна,Чоловік,1976.12.29,Продюсер,місто Молодогвардійськ,"провулок Сільська, буд. 347, Мена , 04383",+380 (40) 082-66-43,ymatiash@example.net
Товстоліс,Тарас,Леонідович,Чоловік,1999.01.16,Музичний редактор,село Білозерське,"проспект Глазунова, буд. 4 кв. 15, Сулимівка (Слов'янськ), 33609",108 70 46,odavydenko@example.org
Лемешко,Роксолана,Дмитрович,Жінка,1981.10.04,Стиліст,село Рудки,"сквер ім. С.Ю. Вітте, буд. 52, Березівка, 31061",+380 79 339-52-88,ikhorishko@example.com
Авдєєнко,Галина,Іракліївна,Жінка,1982.10.16,Музикант,селище Бурштин ,"вулиця Старорізнична, буд. 0, Охтирка, 64050",048-10-72,eduard85@example.org
Цимбал,Марта,Болеславівна,Жінка,2006.08.09,Правник,місто Новоселиця,"узвіз Амбулаторний 2-й, буд. 95, Прип'ять , 97693",+380 02 356 30 33,qtereshchenko@example.org
Валенко,Камілла,Семіонівна,Жінка,1990.04.26,Диригент,хутір Монастириська,"парк Естонський, буд. 0 кв. 31, Мар'їнка, 01885",018 86 28,zlatoslava84@example.net
Єфименко,Лукʼян,Юхимович,Чоловік,2003.12.10,Фотограф,селище Старобільськ,"набережна Дальницька, буд. 431 кв. 28, Володимир-Волинський, 44410",+380 23 027-85-29,lukianteslia@example.com
Дашкевич,Микита,Трифонівна,Чоловік,1973.12.11,Менеджер,хутір Соледар,"парк Слєпньова, буд. 255, Благовіщенське, 21177",+380 53 110 91 24,babiichukielysaveta@example.net
Влох,Руслан,Афанасіївна,Чоловік,1987.02.21,Шериф,хутір Жовті Води,"узвіз Лютневий 2-й, буд. 161, Світловодськ, 19910",786 14 20,frants07@example.net
Дубас,Олекса,Дмитрович,Чоловік,1968.10.09,Піаніст,хутір Саки ,"набережна Ольгіївська, буд. 215 кв. 68, Херсон, 15442",+380 (74) 033-88-34,pushkarnazar@example.org
Алексюк,Яків,Борисович,Чоловік,1969.07.22,Редактор,хутір Семенівка,"проспект Український 3-й, буд. 209 кв. 510, Червоносів, 85073",+380 (12) 945-85-72,azarchumachenko@example.org
Таран,Леонтій,Михайлович,Чоловік,2003.12.04,Бібліотекар,селище Галич,"шосе Уманська, буд. 99 кв. 7, Комарно, 54949",002 510 46 51,eishchenko@example.org
Дубенко,Василина,Миронівна,Жінка,1985.11.01,Будник,місто Володимир-Волинський,"узвіз Гілельса, буд. 564 кв. 253, Дебальцеве, 86819",+380 47 800-41-24,ruslan82@example.net
Гречко,Михайлина,Никифорівна,Жінка,1965.06.26,Археолог,селище Берестечко,"шосе Старосінна, буд. 6 кв. 2, Жданівка, 82376",+380 (80) 112-11-52,havrylenkovladyslav@example.org
Фастенко,Вікторія,Євгенович,Жінка,1953.08.28,Громадський діяч,хутір Белз,"набережна Заводська, буд. 09, Городок, 90967",372-86-49,zorian25@example.org
Карпенко,Марʼяна,Юхимівна,Жінка,1958.11.15,Флорист,село Угнів,"провулок Гена Іоганна, буд. 8, Березань , 24822",068 151 67 81,hordii30@example.org
Адамчук,Варфоломій,Тимофіївна,Чоловік,1979.10.04,Мікробіолог,село Бібрка,"парк Олександра Стурдзи, буд. 15, Ровеньки, 34050",+380 22 553-73-07,valeriihres@example.com
Бабиченко,Аарон,Мар’янівна,Чоловік,1972.06.15,Співак,місто Татарбунари,"проспект Велика Арнаутська, буд. 69 кв. 13, Галич, 18792",024 540-83-99,valenkomariana@example.org
Ткаченко,Іван,Юхимович,Чоловік,1976.04.02,Гицель,село П'ятихатки,"вулиця 14-та ст. Великого Фонтану пляж, буд. 333, Тячів, 90801",+380 (32) 103-15-16,mykhailohuz@example.net
Жадан,Алевтин,Федосіївна,Чоловік,1977.09.24,Художник,село Кролевець,"парк Молодіжна, буд. 501, Рубіжне, 87467",090 830 99 12,vdubas@example.com
Абраменко,Арсен,Юстиніанівна,Чоловік,1970.02.13,Детектив,селище Тульчин,"проспект Лінія 47-ма, буд. 51 кв. 161, Слов'янськ, 54135",+380 62 334-89-70,gerusnestor@example.org
Абраменко,Аврелій,Корнеліївна,Чоловік,2006.11.21,Хімік,селище Шостка,"провулок Гранатна, буд. 4, Одеса, 98017",088 26 20,zorianiermolenko@example.com
Сірко,Марина,Кирилівна,Жінка,2006.07.11,Публіцист,село Баранівка,"узвіз Сурикова 1-й, буд. 711, Мелітополь, 16930",086 711 09 04,chabansnizhana@example.org
Корсун,Валентина,Тихонівна,Жінка,1972.03.11,Гірник,село Волочиськ,"проспект Радісна, буд. 9, Гірське, 84671",+380 88 706-92-47,lukian86@example.org
Твердохліб,Віра,Вікторівич,Жінка,1996.10.29,Актор,село Єнакієве,"парк Комітетська, буд. 39, Новий Буг, 90609",055-91-12,emiliiairvanets@example.net
Гаєвський,Анжела,Артемівна,Жінка,1969.11.12,Ботанік,місто Голубівка,"парк Луцька, буд. 4 кв. 19, Тростянець, 07067",535 52 73,solomon26@example.org
Андрейко,Євген,Мар’янівна,Чоловік,1952.11.04,Будник,селище Почаїв,"шосе Восьмого Березня Лінія 1-ша, буд. 94, Луцьк, 62292",+380 59 191 51 86,glazarenko@example.org
Батуринець,Владислав,Мстиславівна,Чоловік,1951.03.23,Єгер,селище Шахтарськ,"набережна Вертелецького, буд. 546 кв. 5, Миколаївка , 02021",+380 (44) 428-62-01,rostyslavmatviienko@example.org
Рубець,Симон,Давидович,Чоловік,1977.12.05,Кінолог,село Антрацит ,"провулок Марії Демченко, буд. 6, Перечин, 61802",+380 73 280-94-29,leonidtovstukha@example.com
Балабан,Соломон,Корнеліївна,Чоловік,1966.10.31,Патологоанатом,село Корюківка,"площа Капітана Кузнецова, буд. 6, Буськ, 94562",871 03 00,ihrechko@example.net
Власенко,Миколай,Сергійович,Чоловік,1995.09.29,Футболіст,село Жовті Води,"проспект 15-та Суворовська, буд. 972, Новий Розділ, 58559",011 062-34-76,kovalenkopetro@example.com
Данильчук,Адам,Всеславівна,Чоловік,2004.01.07,Електротехнік,село Коломия,"шосе Зої Космодем’янської, буд. 281, Острог, 04075",+380 47 994 07 04,okhrim50@example.com
Шевченко,Марʼяна,Миронівна,Жінка,1986.09.25,Скульптор,селище Тростянець,"площа Десятого квітня, буд. 9 кв. 64, Шостка, 33753",+380 (10) 637-49-43,liliia87@example.org
Охримович,Василина,Альбертівна,Жінка,1961.10.07,Актор,хутір Армянськ,"вулиця 9-та Суворовська, буд. 1 кв. 640, Умань, 20629",+380 (78) 343-20-16,danchenkomartyn@example.net
Дзиндра,Богуслава,Русланович,Жінка,2001.10.28,Шериф,село Бровари,"провулок Промисловий, буд. 33 кв. 935, Баштанка, 09086",+380 (24) 234-59-57,volodymyra33@example.com
Фесенко,Валентина,Григоріївна,Жінка,1960.03.09,Піаніст,хутір Золотоноша,"узвіз ПшеничнаРадищева, буд. 19, Судова Вишня, 04372",514 08 67,albert67@example.org
Сиротенко,Богуслав,Володиславівна,Чоловік,1988.06.13,Паралегал,селище Татарбунари,"вулиця Планетна, буд. 344 кв. 76, Калинівка , 98475",820 52 03,orobetsvadym@example.net
Конопля,Демʼян,Григоріївна,Чоловік,1975.09.19,Паралегал,село Христинівка,"сквер Лавкова, буд. 522 кв. 3, Перемишляни, 71282",416-19-90,derkachtymofii@example.org
Єщенко,Борислав,Вітольдівна,Чоловік,2001.10.22,Каскадер,селище Почаїв,"вулиця Чехова, буд. 85, Дубляни, 18528",089 247 31 31,bohuslavazakharchenko@example.com
Рудько,Віктор,Андриянівна,Чоловік,1974.03.18,Бібліограф,місто Жданівка,"вулиця Ковиловий, буд. 26 кв. 75, Тульчин, 44453",+380 26 286 61 50,venedyktsalii@example.org
Щириця,Остап,Макарович,Чоловік,1985.05.04,Журналіст,село Кам'янка-Дніпровська,"провулок Софії Перовської, буд. 4 кв. 0, Нова Одеса, 57558",073 619 51 71,pmykhaliuk@example.com
Литвиненко,Захар,Валентинівна,Чоловік,1986.02.03,Мінералог,село Рівне,"площа Василя Кандинського 5-й, буд. 451, Ніжин, 03284",615-44-04,xkomar@example.org
Твердохліб,Лариса,Олесьович,Жінка,1952.03.27,Електромонтажник,селище Миронівка,"набережна Гвоздична, буд. 0 кв. 94, Корюківка, 65006",098 290 95 67,hvanchenko@example.net
Вернигора,Михайлина,Захарівна,Жінка,1959.03.10,Живописець,хутір Гірське,"провулок Восьмого березня 3-й, буд. 091 кв. 298, Овруч, 54782",080 977 66 65,abrahamovskyipetro@example.com
Кабаненко,Соломія,Тихонівна,Жінка,1956.05.29,Мікробіолог,село Соснівка ,"вулиця Донецька, буд. 724, Валки , 06345",+380 65 975 40 66,ydziuba@example.com
Козаченко,Маруся,Мстиславівна,Жінка,1953.09.03,Музичний редактор,селище Помічна,"набережна Соляний 1-й, буд. 4 кв. 068, Полтава, 62136",+380 (19) 969-18-66,liubov95@example.com
Ковалюк,Леонід,Климентівна,Чоловік,1982.02.26,Кінокритик,місто Ворожба,"узвіз Люстдорфський, буд. 226 кв. 228, Привілля, 20609",+380 06 152-71-63,snizhanariabets@example.com
Гавришкевич,Віталій,Костянтинівна,Чоловік,2006.01.09,Єгер,хутір Старий Самбір,"сквер Шовкуненка, буд. 60 кв. 6, Переяслав, 51688",+380 92 852-05-19,iustym82@example.org
Базилевський,Марко,Всеславівна,Чоловік,1979.07.13,Вчитель,село Ватутіне,"вулиця Тінистий, буд. 839 кв. 483, Гнівань, 31764",838 10 27,edytaneporozhnii@example.net
Заїка,Василь,Федорович,Чоловік,1988.04.14,Соціолог,село Бердянськ,"узвіз Тульська, буд. 3, Вишневе , 26904",+380 21 559-24-15,dokhrymovych@example.org
Ковпак,Левко,Іпатіївна,Чоловік,1954.11.06,Футболіст,місто Городенка,"парк Бориса Дерев'янка, буд. 68 кв. 50, Олександрія, 25090",046 316-49-96,iemetsleopold@example.net
Бакуменко,Соломон,Антінович,Чоловік,1963.05.15,Мінералог,хутір Бунге ,"узвіз Поштова, буд. 21, Гірське, 86865",+380 99 570-81-04,erikaeibozhenko@example.org
Комар,Соломія,Мар’янівна,Жінка,1980.07.22,Промисловець,село Маріуполь,"парк Сашка Хорошенка, буд. 57, Інкерман, 51671",110-78-89,rostyslav33@example.org
Рябченко,Орися,Вікторівич,Жінка,1954.03.17,Бібліограф,місто Могилів-Подільський,"провулок Шолохова, буд. 7 кв. 145, Білицьке, 44633",257-85-34,piddubnyivalerii@example.org
Жайворон,Алла,Захарівна,Жінка,1957.12.02,Різноробочий,місто Армянськ,"площа Ватманський, буд. 830 кв. 531, Авдіївка, 55159",+380 60 163-38-35,havrylotychyna@example.com
Гаврилів,Ярина,Антінович,Жінка,1972.05.28,Петрограф,хутір Брянка,"вулиця Амурський 4-й, буд. 765 кв. 6, Городенка, 37171",+380 52 160-00-65,boleslavkorpaniuk@example.com
Василенко,Борис,Григоріївич,Чоловік,1951.03.05,Професор,місто Світловодськ,"провулок Дружний, буд. 60 кв. 7, Рубіжне, 81294",+380 55 446 70 12,taraskopytko@example.com
Гуцуляк,Климент,Мірілівна,Чоловік,2003.11.07,Гінеколог,хутір Фастів,"вулиця Жасминна, буд. 8, Сквира, 61121",098 696-80-02,ieromenkomaryna@example.org
Івасюк,Антон,Федосіївна,Чоловік,1958.07.11,Ді-джей,село Городище ,"площа Академічний, буд. 412, Севастополь, 08079",868 05 45,pkabaliuk@example.org
Жук,Болеслав,Назаріївна,Чоловік,1961.08.15,Адвокат,селище Армянськ,"вулиця Кредитний, буд. 6 кв. 82, Хуст, 30798",+380 88 096-16-96,demydenkodavyd@example.org
Чорновіл,Ігор,Антонович,Чоловік,1970.06.17,Диригент,місто Калинівка ,"сквер Проектований 4-й, буд. 4 кв. 6, Ялта, 61454",341-51-14,parmennalyvaiko@example.org
Оберемко,Святослав,Іпатіївна,Чоловік,1979.04.18,Фотограф,хутір Белз,"провулок 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 394 кв. 841, Яготин, 47462",616 65 99,lsamoilenko@example.org
Вахній,Валентина,Олексійович,Жінка,2000.04.03,Архітектор,хутір Буринь,"площа Мала Садова, буд. 970 кв. 4, Сімферополь, 97313",050 467-18-73,dkovalenko@example.net
Жук,Орина,Валеріївна,Жінка,1954.06.27,Кінорежисер,хутір Бунге ,"вулиця Черепанових, буд. 740 кв. 5, Молочанськ, 86578",042 557-74-85,vderevianko@example.org
Бакуменко,Оксана,Олексіївна,Жінка,1979.01.29,Астрофізик,хутір Щолкіне,"сквер Дніпровська, буд. 44 кв. 443, Чорноморськ, 85462",+380 48 114-19-53,hannamykhailiuk@example.org
Приймак,Альбіна,Марківна,Жінка,1990.05.16,Випробувач,селище Вишгород,"площа Наклонна, буд. 075, Ічня, 94362",501 13 64,iakiv93@example.com
Якимчук,Павло,Юліанівна,Чоловік,1974.08.01,Маркетолог,місто Вознесенівка,"площа Наливна, буд. 23 кв. 7, Львів, 97753",+380 56 722-27-44,riakovenko@example.net
Шаповал,Пилип,Кирилівна,Чоловік,1992.04.02,Архітектор,хутір Старокостянтинів,"парк Бузковий, буд. 227, Гребінка, 33127",016 910-57-25,babakdanna@example.com
Вдовиченко,Вадим,Федосіївна,Чоловік,1978.08.18,Зоолог,селище Дрогобич,"вулиця Сонячна, буд. 6 кв. 6, Червоносів, 25547",093 724-13-64,viktornikoliuk@example.com
Захарченко,Іван,Тимофіївна,Чоловік,1966.10.15,Музикант,селище Золоте,"сквер Заводська, буд. 1, Болград, 79685",+380 (68) 270-27-80,pylyp17@example.org
Зарудний,Алевтин,Костянтинівна,Чоловік,1969.11.10,Головний меркшейдер,місто Прилуки,"сквер Поперечний, буд. 722 кв. 8, Бершадь, 52132",+380 (22) 571-59-72,smishchenko@example.net
Тимчук,Пилип,Олексійович,Чоловік,1973.08.15,Промисловець,село Біляївка,"набережна 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 6, Приморськ (Україна), 50576",009 865-48-78,levko62@example.com
Павленко,Соломія,Ізмаїлівна,Жінка,1970.11.29,Акушер,хутір Вуглегірськ,"набережна Студентський 2-й, буд. 85 кв. 821, Березне, 97510",040 368-43-52,babkokostiantyn@example.com
Чумаченко,Аліна,Агапіївна,Жінка,1981.05.02,Швачка,селище Роздільна,"вулиця Чапаєва, буд. 67, Костопіль, 90431",+380 44 414 68 00,pavlychenkoarkadii@example.com
Прокопович,Ліза,Макарович,Жінка,2007.09.07,Графік,селище Чигирин,"узвіз Восьмого березня 8-й, буд. 0, Свалява, 60270",+380 (12) 177-08-23,martynshamrai@example.com
Їжак,Пріска,Юхимівна,Жінка,1966.04.06,Гицель,селище Турка,"набережна Василя Кандинського 5-й, буд. 636, Старобільськ, 68357",013 772-32-61,terezaiashchuk@example.org
Затовканюк,Симон,Іракліївна,Чоловік,1975.02.19,Юрист,місто Шостка,"площа Волоколамська, буд. 60, Запоріжжя, 99533",+380 70 822-05-72,szhadan@example.com
Яремчук,Прохір,Дмитрович,Чоловік,1970.05.09,Швачка,село П'ятихатки,"узвіз Деревообробний 1-й, буд. 701, Дубляни, 77588",+380 (19) 009-68-08,arkhymovychihor@example.org
Вівчаренко,Остап,Артемівна,Чоловік,1993.10.24,Мінералог,місто Дебальцеве,"проспект Вапняне селище, буд. 227 кв. 0, Монастирище, 95347",020 496-18-41,dderhach@example.org
Удовиченко,Єфрем,Феофанівна,Чоловік,1954.11.25,Ювелір,місто Амвросіївка,"площа Плієва, буд. 6 кв. 094, Шостка, 77876",+380 17 652 82 87,czharko@example.net
Мамчур,Богдан,Ісааківна,Чоловік,1976.04.03,Економіст,місто Черкаси,"площа Данькевича, буд. 78 кв. 6, Вишгород, 53275",372 18 63,iaroslav05@example.net
Затовканюк,Федір,Федорович,Чоловік,1999.09.17,Бухгалтер,село Петрово-Красносілля,"шосе Студентський 5-й, буд. 0, Кам'янка-Дніпровська, 11777",+380 55 840 43 28,petromalyshko@example.com
Чубай,Світлана,Марківна,Жінка,1985.03.21,Нотаріус,хутір Броди,"шосе Суднобудівний, буд. 893, Чоп, 55186",+380 64 141-91-61,jchornovil@example.com
Гречаник,Одарка,Святославівна,Жінка,1990.02.19,Піаніст,хутір Борзна,"площа Басейний 2-й, буд. 54 кв. 081, Козятин, 49054",+380 06 928-89-59,vira74@example.com
Палій,Ірена,Анісіївна,Жінка,1977.06.07,Каскадер,хутір Узин,"провулок Деревообробний 4-й, буд. 446 кв. 85, Канів, 47600",035 661-64-14,shchorssolomiia@example.net
Чалий,Святослава,Мінаївна,Жінка,2002.06.30,Сценарист,селище Вознесенівка,"сквер Черепанових 2-й, буд. 58, Сватове, 52482",+380 00 598 05 62,zharkolarysa@example.net
Саєнко,Єлисей,Савеліївна,Чоловік,1963.12.14,Стиліст,хутір Ізмаїл,"узвіз Стахановський 4-й, буд. 74 кв. 021, Ясинувата, 34988",+380 83 557-34-85,kamilla58@example.net
Михалюк,Панас,Іоаннівна,Чоловік,1973.01.08,Пілот,хутір Білгород-Дністровський,"сквер Верф’яний, буд. 16, Міусинськ, 65365",+380 (11) 399-55-69,svitlana74@example.org
Худобʼяк,Борис,Юрійович,Чоловік,1987.12.19,Музикант,місто Канів,"провулок Республіканська, буд. 5, Вільногірськ, 96062",022 833 64 43,myronvyshyvanyi@example.com
Чміль,Валерій,Мстиславівна,Чоловік,1989.01.25,Фрілансер,хутір Гола Пристань,"проспект Паркова, буд. 0, Бобринець, 27318",+380 (46) 304-46-96,filipenkooles@example.net
Вітер,Пилип,Володиславівна,Чоловік,1977.07.20,Правник,місто Борислав,"площа Південна дорога, буд. 459, Новий Калинів, 72386",+380 08 878-72-54,khrystenkoillia@example.org
Гоголь-Яновський,Іван,Афанасіївна,Чоловік,1982.06.14,Актор,місто Ананьїв,"шосе Чапаєва 2-й, буд. 09 кв. 234, Ізмаїл, 77902",871 51 78,derhacharsen@example.org
Цюпа,Наталія,Амвросіївна,Жінка,1995.09.05,Машиніст,селище Барвінкове,"провулок Літакова, буд. 50, Бурштин , 40014",+380 62 210 81 45,bhydenkomarusia@example.org
Ґерета,Клавдія,Мар’янович,Жінка,1995.12.27,Євнух,селище Остер ,"провулок Леонова, буд. 06, Молодогвардійськ, 22761",904-69-09,wusyk@example.net
Артимишин,Ліза,Юріївна,Жінка,2003.10.09,Літературознавець,хутір Сватове,"парк Різдвяна, буд. 9 кв. 234, Васильків, 59249",066 03 15,fedir93@example.net
Рябченко,Лариса,Васильович,Жінка,1997.07.07,Паблік рилейшнз,місто Березне,"сквер Алмазна, буд. 9 кв. 4, Зимогір'я, 29083",726 50 55,stanislav01@example.net
Алексеєнко,Климент,Глібівна,Чоловік,1980.01.29,Дипломат,селище Феодосія,"сквер Лінійна, буд. 4, Вовчанськ, 44094",503 72 96,oavdieienko@example.com
Франко,Миколай,Гордіївна,Чоловік,1999.05.06,Сантехнік,місто Миколаївка ,"сквер Лінія 28-ма, буд. 44, Турка, 78839",066 001 97 75,oshvachko@example.org
Андрусенко,Йосип,Юхиміанівна,Чоловік,2003.07.13,Мистецтвознавець,село Дружківка,"провулок Чорноморський 10-й, буд. 59, Бережани, 63637",013 243-51-46,danhohol-ianovskyi@example.com
Бабійчук,Тарас,Євгенович,Чоловік,1993.06.17,Електротехнік,село Куп'янськ,"парк Планетна, буд. 53, Угнів, 24233",062 984-49-24,shvachkamyron@example.org
Гуцуляк,Хома,Мелентіївна,Чоловік,1960.03.25,Актор,селище Дубно,"набережна Ломоносова, буд. 21 кв. 51, Заліщики, 43536",936-61-71,aleksiichukfedir@example.net
Башполченко,Руслан,Єфремівна,Чоловік,1995.02.14,Мистецтвознавець,місто Переяслав,"провулок Садова 5-та, буд. 559 кв. 3, Бердянськ, 41297",+380 57 375-57-68,mriabets@example.com
Мазур,Роксолана,Володимирівна,Жінка,1983.06.17,Лікар,місто Остер ,"набережна Небесної Сотні, буд. 646, Саки , 05467",+380 (36) 423-83-24,andriiovychprokhir@example.net
Андрейко,Галина,Іларіонівна,Жінка,1955.11.10,Пілот,село Гуляйполе,"парк Лінія 23-тя, буд. 304, Чугуїв, 52475",+380 (89) 475-14-32,tymofii80@example.com
Колесниченко,Роксолана,Тихонівна,Жінка,1977.10.16,Льотчик,місто Ялта,"провулок Нова, буд. 4, Чорноморськ, 16172",043-74-25,dankevychdemian@example.net
